,ts,id,T,P
0,2289131,BARO0,2131,98044
1,2289131,BARO1,2145,98010
2,2289131,BARO2,2231,98020
3,2289141,BARO0,2131,98047
4,2289141,BARO1,2145,98004
5,2289141,BARO2,2230,98022
6,2289151,BARO0,2131,98053
